FullName,Legislative,PartyAbbreviation,SimplePartyAbbreviation,SimplePartyId,Active,FirstName,LastName,GenderAsString,CantonName,CantonAbbreviation,CouncilName,ParlGroupName,ParlGroupAbbreviation,PartyName,MaritalStatusText,BirthPlace_City,BirthPlace_Canton,Mandates,DateJoining,DateLeaving,Citizenship,DateOfBirth,DateOfDeath,Image
Frehner Sebastian,1.0,UDC,UDC,1,False,Sebastian,Frehner,m,Bâle-Ville,BS,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Bâle,Bâle-Ville,Legislative des Kantons (Grossrat): von Februar 2005 bis September 2014,2011-12-05,2015-11-29,"Urnäsch (AR),Bâle (BS)",1973-09-02,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2750.jpg
Frehner Sebastian,2.0,UDC,UDC,1,True,Sebastian,Frehner,m,Bâle-Ville,BS,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Bâle,Bâle-Ville,Legislative des Kantons (Grossrat): von Februar 2005 bis September 2014,2015-11-30,2019-12-01,"Urnäsch (AR),Bâle (BS)",1973-09-02,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2750.jpg
Frei Daniel,2.0,PSS,PSS,2,True,Daniel,Frei,m,Zurich,ZH,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Zurich,Zurich,Kantonsrat des Kantons Zürich: von Juli 2014 bis Dezember 2018; Gemeinderat der Gemeinde Niederhasli: von Juni 2010 bis Juni 2018; Schulpfleger der Sekundarschulgemeinde Niederhasli-Niederglatt-Hofstetten: von August 2006 bis Juli 2010;  Schulpfleger der Primarschulgemeinde Niederglatt: von August 2002 bis Juli 2006,2018-12-10,2019-12-01,Zurich (ZH),1979-02-05,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3128.jpg
Freysinger Oskar,0.0,UDC,UDC,1,False,Oskar,Freysinger,m,Valais,VS,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Sierre,Valais,Exécutif communal: depuis décembre 1996 jusqu'à décembre 2000; Législatif cantonal: depuis mars 2001 jusqu'à octobre 2003; Exécutif cantonal: dès mai 2013,2007-12-03,2011-12-04,Guttet-Feschel (VS),1960-06-12,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2595.jpg
Freysinger Oskar,1.0,UDC,UDC,1,False,Oskar,Freysinger,m,Valais,VS,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Sierre,Valais,Exécutif communal: depuis décembre 1996 jusqu'à décembre 2000; Législatif cantonal: depuis mars 2001 jusqu'à octobre 2003; Exécutif cantonal: dès mai 2013,2011-12-05,2015-11-29,Guttet-Feschel (VS),1960-06-12,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2595.jpg
Fricker Jonas,2.0,PES,PES,6,False,Jonas,Fricker,m,Argovie,AG,Conseil national,Groupe des Verts,G,Parti écologiste suisse,,Schönenwerd,Soleure,"2002 - 2006: Mitglied des Parlaments der Stadt Baden (Einwohnerrat), Mitglied der Natur- und Umweltkomm. (Partei: team baden); 2007 - 2010: Mitglied des Parlaments des Kantons Aargau (Grosser Rat), Mitglied der Komm. für Aufgaben- und Finanzplanung, Mitglied der Komm. für Gesundheit und Sozialwesen, Mitglied der Arbeitsgruppe WOV (Wirkungsorientierte Verwaltungsführung) (Partei: Grüne); 2010 - 2011: Mitglied des Parlaments der Stadt Baden (Einwohnerrat), Mitglied der Strategiekomm. (Partei: team baden); 2014 - 2015: Mitglied des Parlaments der Stadt Baden (Einwohnerrat) (Partei: team baden).",2015-11-30,2017-11-26,"Baden (AG),Rupperswil (AG)",1977-03-30,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3072.jpg
Fridez Pierre-Alain,1.0,PSS,PSS,2,False,Pierre-Alain,Fridez,m,Jura,JU,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Moutier,Berne,Maire de Fontenais: depuis janvier 1997 jusqu'à décembre 2008; Député du canton: depuis janvier 1999 jusqu'à décembre 2006 et depuis janvier 2011 jusqu'à novembre 2011,2011-12-05,2015-11-29,Grandfontaine (JU),1957-11-20,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2778.jpg
Fridez Pierre-Alain,2.0,PSS,PSS,2,True,Pierre-Alain,Fridez,m,Jura,JU,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Moutier,Berne,Maire de Fontenais: depuis janvier 1997 jusqu'à décembre 2008; Député du canton: depuis janvier 1999 jusqu'à décembre 2006 et depuis janvier 2011 jusqu'à novembre 2011,2015-11-30,2019-12-01,Grandfontaine (JU),1957-11-20,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2778.jpg
Friedl Claudia,1.0,PSS,PSS,2,False,Claudia,Friedl,f,St-Gall,SG,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,St-Gall,St-Gall,Legislative der Stadt St. Gallen (Gemeinderätin): von 1993 bis 1996; Legislative des Kantons (Kantonsrätin): von Mai 1996 bis Februar 2013; Präsidentin: von Mai 2000 bis Mai 2001,2013-03-04,2015-11-29,St-Gall (SG),1960-07-19,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3035.jpg
Friedl Claudia,2.0,PSS,PSS,2,True,Claudia,Friedl,f,St-Gall,SG,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,St-Gall,St-Gall,Legislative der Stadt St. Gallen (Gemeinderätin): von 1993 bis 1996; Legislative des Kantons (Kantonsrätin): von Mai 1996 bis Februar 2013; Präsidentin: von Mai 2000 bis Mai 2001,2015-11-30,2019-12-01,St-Gall (SG),1960-07-19,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3035.jpg
Frösch Therese,0.0,AVeS,other,0,False,Therese,Frösch,f,Berne,BE,Conseil national,Groupe des Verts,G,Alliance verte,,Zofingen,Argovie,Exekutive der Gemeinde Bern (Gemeinderätin): von Januar 1993 bis Dezember 2004,2007-12-03,2011-12-04,Zofingen (AG),1951-06-22,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2596.jpg
Fuchs Thomas,0.0,UDC,UDC,1,False,Thomas,Fuchs,m,Berne,BE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Berne,Berne,"Stadtrat von Bern: von 1995 bis 2002; Grossrat von Bern: seit 2002 und Mitglied Leitung der Justizkommission, Leiter Oberaufsicht Generalstaatsanwaltschaft",2011-05-30,2011-12-04,Neuenegg (BE),1966-06-18,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2753.jpg
Füglistaller Lieni,0.0,UDC,UDC,1,False,Lieni,Füglistaller,m,Argovie,AG,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Zurich,Zurich,Legislative des Kantons: seit April 1985,2007-12-03,2011-12-04,Rudolfstetten-Friedlisberg (AG),1951-12-31,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2651.jpg
Gadient Brigitta M.,0.0,UDC,UDC,1,False,Brigitta M.,Gadient,f,Grisons,GR,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Coire,Grisons,,2007-12-03,2011-12-04,"Trimmis (GR),Coire (GR)",1960-03-14,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2354.jpg
Galladé Chantal,0.0,PSS,PSS,2,False,Chantal,Galladé,f,Zurich,ZH,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Winterthur,Zurich,Legislative des Kantons (Kantonsrat): von August 1997 bis November 2003,2007-12-03,2011-12-04,Isérables (VS),1972-12-17,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2597.jpg
Galladé Chantal,1.0,PSS,PSS,2,False,Chantal,Galladé,f,Zurich,ZH,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Winterthur,Zurich,Legislative des Kantons (Kantonsrat): von August 1997 bis November 2003,2011-12-05,2015-11-29,Isérables (VS),1972-12-17,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2597.jpg
Galladé Chantal,2.0,PSS,PSS,2,False,Chantal,Galladé,f,Zurich,ZH,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Winterthur,Zurich,Legislative des Kantons (Kantonsrat): von August 1997 bis November 2003,2015-11-30,2018-12-06,Isérables (VS),1972-12-17,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2597.jpg
Gasche Urs,1.0,PBD,PBD,5,False,Urs,Gasche,m,Berne,BE,Conseil national,Groupe BD,BD,Parti bourgeois-démocratique suisse,,Berne,Berne,Exekutive der Gemeinde Fraubrunnen: von 1990 bis 2001; Gemeindepräsident: von 1994 bis 2001; Exekutive des Kantons (Regierungsrat): von September 2001 bis Mai 2010,2011-12-05,2015-11-29,"Oekingen (SO),Derendingen (SO)",1955-03-15,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2764.jpg
Gasche Urs,2.0,PBD,PBD,5,False,Urs,Gasche,m,Berne,BE,Conseil national,Groupe BD,BD,Parti bourgeois-démocratique suisse,,Berne,Berne,Exekutive der Gemeinde Fraubrunnen: von 1990 bis 2001; Gemeindepräsident: von 1994 bis 2001; Exekutive des Kantons (Regierungsrat): von September 2001 bis Mai 2010,2015-12-08,2017-06-30,"Oekingen (SO),Derendingen (SO)",1955-03-15,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2764.jpg
Gasser Josias F.,1.0,PVL,PVL,7,False,Josias F.,Gasser,m,Grisons,GR,Conseil national,Groupe vert'libéral,GL,Parti vert'libéral,,Zurich,Zurich,Gemeinderat Chur: von Januar 2009 bis Dezember 2011; Legislative des Kantons (Grossrat): seit August 2010,2011-12-05,2015-11-29,Haldenstein (GR),1952-11-17,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3015.jpg
Geissbühler Andrea Martina,1.0,UDC,UDC,1,False,Andrea Martina,Geissbühler,f,Berne,BE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Berne,Berne,,2011-12-05,2015-11-29,Lauperswil (BE),1976-08-03,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2683.jpg
Geissbühler Andrea Martina,2.0,UDC,UDC,1,True,Andrea Martina,Geissbühler,f,Berne,BE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Berne,Berne,,2015-11-30,2019-12-01,Lauperswil (BE),1976-08-03,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2683.jpg
Geissbühler Andrea Martina,0.0,UDC,UDC,1,False,Andrea Martina,Geissbühler,f,Berne,BE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Berne,Berne,,2007-12-03,2011-12-04,Lauperswil (BE),1976-08-03,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2683.jpg
Genecand Benoît,2.0,PLR,PLR,3,True,Benoît,Genecand,m,Genève,GE,Conseil national,Groupe libéral-radical,RL,PLR.Les Libéraux-Radicaux,,Genève,Genève,Assemblée Constituante genevoise: député depuis 2008 jusqu'en 2012; Grand Conseil genevois: député depuis 2013 jusqu'en 2015,2015-11-30,2019-12-01,Plan-les-Ouates (GE),1964-01-28,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3073.jpg
Genner Ruth,0.0,PES,PES,6,False,Ruth,Genner,f,Zurich,ZH,Conseil national,Groupe des Verts,G,Parti écologiste suisse,,Schaffhouse,Schaffhouse,Legislative des Kantons (Kantonsrätin Zürich) von Mai 1987 bis April 1997,2007-12-03,2008-09-14,Buch (SH),1956-01-13,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2457.jpg
Germanier Jean-René,0.0,PLR,PLR,3,False,Jean-René,Germanier,m,Valais,VS,Conseil national,Groupe radical-libéral,RL,Parti radical-démocratique suisse,,Sion,Valais,Législatif communal (Conseiller communal): depuis janvier 1993 jusqu'à décembre 2003,2007-12-03,2011-12-04,"Conthey (VS),Vétroz (VS)",1958-12-18,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2598.jpg
Germanier Jean-René,1.0,PLR,PLR,3,False,Jean-René,Germanier,m,Valais,VS,Conseil national,Groupe libéral-radical,RL,PLR.Les Libéraux-Radicaux,,Sion,Valais,Législatif communal (Conseiller communal): depuis janvier 1993 jusqu'à décembre 2003,2011-12-05,2015-11-29,"Conthey (VS),Vétroz (VS)",1958-12-18,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2598.jpg
Giezendanner Ulrich,0.0,UDC,UDC,1,False,Ulrich,Giezendanner,m,Argovie,AG,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Rothrist,Argovie,Legislative des Kantons (Grossrat): von März 1989 bis November 1991,2007-12-03,2011-12-04,"Rothrist (AG),Wattwil (SG)",1953-10-31,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2292.jpg
Giezendanner Ulrich,1.0,UDC,UDC,1,False,Ulrich,Giezendanner,m,Argovie,AG,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Rothrist,Argovie,Legislative des Kantons (Grossrat): von März 1989 bis November 1991,2011-12-05,2015-11-29,"Rothrist (AG),Wattwil (SG)",1953-10-31,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2292.jpg
Giezendanner Ulrich,2.0,UDC,UDC,1,True,Ulrich,Giezendanner,m,Argovie,AG,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Rothrist,Argovie,Legislative des Kantons (Grossrat): von März 1989 bis November 1991,2015-11-30,2019-12-01,"Rothrist (AG),Wattwil (SG)",1953-10-31,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2292.jpg
Gilli Yvonne,0.0,PES,PES,6,False,Yvonne,Gilli,f,St-Gall,SG,Conseil national,Groupe des Verts,G,Parti écologiste suisse,,Baar,Zoug,Legislative der Gemeinde: von 2000 bis 2005; Legislative des Kantons: von 2004 bis November 2007,2007-12-03,2011-12-04,Neudorf (LU),1957-03-07,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2684.jpg
Gilli Yvonne,1.0,PES,PES,6,False,Yvonne,Gilli,f,St-Gall,SG,Conseil national,Groupe des Verts,G,Parti écologiste suisse,,Baar,Zoug,Legislative der Gemeinde: von 2000 bis 2005; Legislative des Kantons: von 2004 bis November 2007,2011-12-05,2015-11-29,Neudorf (LU),1957-03-07,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2684.jpg
Girod Bastien,0.0,PES,PES,6,False,Bastien,Girod,m,Zurich,ZH,Conseil national,Groupe des Verts,G,Parti écologiste suisse,,Genève,Genève,Legislative der Gemeinde: von Februar 2006 bis November 2007,2007-12-03,2011-12-04,Champoz (BE),1980-12-21,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2685.jpg
Girod Bastien,1.0,PES,PES,6,False,Bastien,Girod,m,Zurich,ZH,Conseil national,Groupe des Verts,G,Parti écologiste suisse,,Genève,Genève,Legislative der Gemeinde: von Februar 2006 bis November 2007,2011-12-05,2015-11-29,Champoz (BE),1980-12-21,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2685.jpg
Girod Bastien,2.0,PES,PES,6,True,Bastien,Girod,m,Zurich,ZH,Conseil national,Groupe des Verts,G,Parti écologiste suisse,,Genève,Genève,Legislative der Gemeinde: von Februar 2006 bis November 2007,2015-11-30,2019-12-01,Champoz (BE),1980-12-21,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2685.jpg
Glanzmann-Hunkeler Ida,0.0,PDC,PDC,4,False,Ida,Glanzmann-Hunkeler,f,Lucerne,LU,Conseil national,Groupe PDC/PEV/PVL,CEg,Parti démocrate-chrétien suisse,,Zofingen,Argovie,Legislative des Kantons (Grossrätin): von 1995 bis 2006,2007-12-03,2011-12-04,Altishofen (LU),1958-09-29,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2657.jpg
Glanzmann-Hunkeler Ida,1.0,PDC,PDC,4,False,Ida,Glanzmann-Hunkeler,f,Lucerne,LU,Conseil national,Groupe PDC-PEV,CE,Parti démocrate-chrétien suisse,,Zofingen,Argovie,Legislative des Kantons (Grossrätin): von 1995 bis 2006,2011-12-05,2015-11-29,Altishofen (LU),1958-09-29,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2657.jpg
Glanzmann-Hunkeler Ida,2.0,PDC,PDC,4,True,Ida,Glanzmann-Hunkeler,f,Lucerne,LU,Conseil national,Groupe PDC,C,Parti démocrate-chrétien suisse,,Zofingen,Argovie,Legislative des Kantons (Grossrätin): von 1995 bis 2006,2015-11-30,2019-12-01,Altishofen (LU),1958-09-29,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2657.jpg
Glarner Andreas,2.0,UDC,UDC,1,True,Andreas,Glarner,m,Argovie,AG,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Glaris,Glaris,Gemeindeammann Gemeinde Oberwil-Lieli: Präsident RFO / ZSO Mutschellen,2015-11-30,2019-12-01,Diesbach (GL),1962-10-09,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3074.jpg
Glättli Balthasar,1.0,PES,PES,6,False,Balthasar,Glättli,m,Zurich,ZH,Conseil national,Groupe des Verts,G,Parti écologiste suisse,,Zurich,Zurich,Gemeinderat (Legislative) der Stadt Zürich: von März 1998 bis November 2011,2011-12-05,2015-11-29,Zurich (ZH),1972-02-12,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3003.jpg
Glättli Balthasar,2.0,PES,PES,6,True,Balthasar,Glättli,m,Zurich,ZH,Conseil national,Groupe des Verts,G,Parti écologiste suisse,,Zurich,Zurich,Gemeinderat (Legislative) der Stadt Zürich: von März 1998 bis November 2011,2015-11-30,2019-12-01,Zurich (ZH),1972-02-12,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3003.jpg
Glauser-Zufferey Alice,2.0,UDC,UDC,1,True,Alice,Glauser-Zufferey,f,Vaud,VD,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Sierre,Valais,"Constituante vaudoise: de 2000 à 2002; Municipale de la commune de Champvent: de 2002 à 2011, vice-syndique; Députée vaudoise élue en 2002/2007, 2007 et 2012/2016",2016-02-29,2019-12-01,Champvent (VD),1954-10-18,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2686.jpg
Glauser-Zufferey Alice,0.0,UDC,UDC,1,False,Alice,Glauser-Zufferey,f,Vaud,VD,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Sierre,Valais,"Constituante vaudoise: de 2000 à 2002; Municipale de la commune de Champvent: de 2002 à 2011, vice-syndique; Députée vaudoise élue en 2002/2007, 2007 et 2012/2016",2007-12-03,2011-12-04,Champvent (VD),1954-10-18,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2686.jpg
Glur Walter,0.0,UDC,UDC,1,False,Walter,Glur,m,Argovie,AG,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Oftringen,Argovie,Legislative des Kantons: Mai 1981 bis November 1999,2007-12-03,2011-12-04,Oftringen (AG),1943-04-11,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2494.jpg
Gmür Alois,1.0,PDC,PDC,4,False,Alois,Gmür,m,Schwyz,SZ,Conseil national,Groupe PDC-PEV,CE,Parti démocrate-chrétien suisse,,Einsiedeln,Schwyz,Bezirksrat Einsiedeln: von 1986 bis 2000; Bezirksamman Einsiedeln: von 2000 bis 2004; Legislative des Kantons (Kantonsrat): von 2004 bis 2011,2011-12-05,2015-11-29,Amden (SG),1955-04-03,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3001.jpg
Gmür Alois,2.0,PDC,PDC,4,True,Alois,Gmür,m,Schwyz,SZ,Conseil national,Groupe PDC,C,Parti démocrate-chrétien suisse,,Einsiedeln,Schwyz,Bezirksrat Einsiedeln: von 1986 bis 2000; Bezirksamman Einsiedeln: von 2000 bis 2004; Legislative des Kantons (Kantonsrat): von 2004 bis 2011,2015-11-30,2019-12-01,Amden (SG),1955-04-03,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3001.jpg
Gmür-Schönenberger Andrea,2.0,PDC,PDC,4,True,Andrea,Gmür-Schönenberger,f,Lucerne,LU,Conseil national,Groupe PDC,C,Parti démocrate-chrétien suisse,,Wattwil,St-Gall,Legislative des Kantons Luzern: von 2007 bis 2015,2015-11-30,2019-12-01,"Lucerne (LU),Amden (SG),Kirchberg (SG)",1964-07-17,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3075.jpg
Gobbi Norman,0.0,Lega,Lega,9,False,Norman,Gobbi,m,Tessin,TI,Conseil national,Groupe de l'Union démocratique du Centre,V,Lega dei Ticinesi,,Faido,Tessin,Consigliere comunale: da aprile 1996 ad aprile 2008; municipale: a partire da maggio 2008; deputato in Gran Consiglio: a partire da aprile 1999; presidente del Gran Consiglio: da maggio 2008 a maggio 2009; Consigliere di Stato: a partire da aprile 2011,2010-03-01,2011-04-14,Quinto (TI),1977-03-23,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2739.jpg
Golay Roger,1.0,MCR,other,0,False,Roger,Golay,m,Genève,GE,Conseil national,Non inscrit,-,Mouvement Citoyens Romand,,Genève,Genève,Législatif cantonal: depuis septembre 2005 jusqu'à novembre 2013; Conseiller municipal (Ville de Lancy): depuis 2007 jusqu'à 2016,2013-12-02,2015-11-29,Le Chenit (VD),1959-09-23,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3039.jpg
Golay Roger,2.0,MCG,other,0,True,Roger,Golay,m,Genève,GE,Conseil national,Groupe de l'Union démocratique du Centre,V,Mouvement Citoyens Genevois,,Genève,Genève,Législatif cantonal: depuis septembre 2005 jusqu'à novembre 2013; Conseiller municipal (Ville de Lancy): depuis 2007 jusqu'à 2016,2015-11-30,2019-12-01,Le Chenit (VD),1959-09-23,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3039.jpg
Goll Christine,0.0,PSS,PSS,2,False,Christine,Goll,f,Zurich,ZH,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Zurich,Zurich,Legislative des Kantons (Kantonsrätin): von 1987 bis 1991,2007-12-03,2011-12-04,"Schlatt (ZH),Laufon (BL)",1956-12-10,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2294.jpg
Gössi Petra,1.0,PLR,PLR,3,False,Petra,Gössi,f,Schwyz,SZ,Conseil national,Groupe libéral-radical,RL,PLR.Les Libéraux-Radicaux,,Lucerne,Lucerne,Legislative des Kantons: von Juni 2004 bis November 2011,2011-12-05,2015-11-29,Küssnacht am Rigi (SZ),1976-01-12,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3023.jpg
Gössi Petra,2.0,PLR,PLR,3,True,Petra,Gössi,f,Schwyz,SZ,Conseil national,Groupe libéral-radical,RL,PLR.Les Libéraux-Radicaux,,Lucerne,Lucerne,Legislative des Kantons: von Juni 2004 bis November 2011,2015-11-30,2019-12-01,Küssnacht am Rigi (SZ),1976-01-12,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3023.jpg
Graber Jean-Pierre,1.0,UDC,UDC,1,False,Jean-Pierre,Graber,m,Berne,BE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,La Chaux-de-Fonds,Neuchâtel,Conseil général (Le Locle): jan. 67 - juin 79; Conseil de ville (La Neuveville): jan. 89 - juillet 92; Conseil municipal (La Neuveville): août 92 - déc. 04 et Féd. des communes du Jura bernois: jan. 89 - déc. 95; Grand Conseil NE: mai 69 - juin 79 et mai 81 - avril 84,2015-03-02,2015-11-29,Sigriswil (BE),1946-07-08,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2687.jpg
Graber Jean-Pierre,0.0,UDC,UDC,1,False,Jean-Pierre,Graber,m,Berne,BE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,La Chaux-de-Fonds,Neuchâtel,Conseil général (Le Locle): jan. 67 - juin 79; Conseil de ville (La Neuveville): jan. 89 - juillet 92; Conseil municipal (La Neuveville): août 92 - déc. 04 et Féd. des communes du Jura bernois: jan. 89 - déc. 95; Grand Conseil NE: mai 69 - juin 79 et mai 81 - avril 84,2007-12-03,2011-12-04,Sigriswil (BE),1946-07-08,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2687.jpg
Graf Maya,0.0,PES,PES,6,False,Maya,Graf,f,Bâle-Campagne,BL,Conseil national,Groupe des Verts,G,Parti écologiste suisse,,Sissach,Bâle-Campagne,Legislative der Gemeinde (Gemeindekommission): von Juli 1988 bis Juni 1995; Legislative des Kantons: von Juli 1995 bis Mai 2001,2007-12-03,2011-12-04,Sissach (BL),1962-02-28,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2569.jpg
Graf Maya,1.0,PES,PES,6,False,Maya,Graf,f,Bâle-Campagne,BL,Conseil national,Groupe des Verts,G,Parti écologiste suisse,,Sissach,Bâle-Campagne,Legislative der Gemeinde (Gemeindekommission): von Juli 1988 bis Juni 1995; Legislative des Kantons: von Juli 1995 bis Mai 2001,2011-12-05,2015-11-29,Sissach (BL),1962-02-28,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2569.jpg
Graf Maya,2.0,PES,PES,6,True,Maya,Graf,f,Bâle-Campagne,BL,Conseil national,Groupe des Verts,G,Parti écologiste suisse,,Sissach,Bâle-Campagne,Legislative der Gemeinde (Gemeindekommission): von Juli 1988 bis Juni 1995; Legislative des Kantons: von Juli 1995 bis Mai 2001,2015-11-30,2019-12-01,Sissach (BL),1962-02-28,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2569.jpg
Graf-Litscher Edith,0.0,PSS,PSS,2,False,Edith,Graf-Litscher,f,Thurgovie,TG,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Uster,Zurich,Legislative der Gemeinde Frauenfeld: von Mai 2003 bis Mai 2005; Legislative des Kantons: von April 2004 bis Januar 2006,2007-12-03,2011-12-04,"Sevelen (SG),Wolfhalden (AR)",1964-03-25,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2652.jpg
Graf-Litscher Edith,1.0,PSS,PSS,2,False,Edith,Graf-Litscher,f,Thurgovie,TG,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Uster,Zurich,Legislative der Gemeinde Frauenfeld: von Mai 2003 bis Mai 2005; Legislative des Kantons: von April 2004 bis Januar 2006,2011-12-05,2015-11-29,"Sevelen (SG),Wolfhalden (AR)",1964-03-25,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2652.jpg
Graf-Litscher Edith,2.0,PSS,PSS,2,True,Edith,Graf-Litscher,f,Thurgovie,TG,Conseil national,Groupe socialiste,S,Parti socialiste suisse,,Uster,Zurich,Legislative der Gemeinde Frauenfeld: von Mai 2003 bis Mai 2005; Legislative des Kantons: von April 2004 bis Januar 2006,2015-11-30,2019-12-01,"Sevelen (SG),Wolfhalden (AR)",1964-03-25,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2652.jpg
Grin Jean-Pierre,0.0,UDC,UDC,1,False,Jean-Pierre,Grin,m,Vaud,VD,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,,Valeyres-sous-Rances,Vaud,Législatif communal: depuis avril 1967 jusqu'à décembre 1973; Exécutif communal: syndic de Pomy depuis 1994 jusqu'à 2011; Législatif cantonal: depuis 1998 jusqu'à 2007,2007-12-03,2011-12-04,Belmont-sur-Yverdon (VD),1947-03-16,,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2688.jpg
